jurisdiction,country_or_region,law_name,law_type,legal_status,official_source_name,official_url,effective_date,last_checked_date,ai_relevance,data_relevance,summary,key_obligations,applicable_scenarios,risk_keywords,monitoring_method,source_quality
欧盟,European Union,Regulation (EU) 2024/1689 - Artificial Intelligence Act,AI综合法规,正式法规,EUR-Lex,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,2024-08-01/分阶段适用,2026-06-21,高,中高,欧盟统一AI监管框架，按风险等级设置义务，覆盖AI系统提供者、部署者、进口商、经销商及通用目的AI模型等角色。,风险分类；禁止类AI；高风险AI合规管理；透明度义务；技术文档；日志记录；人工监督；通用目的AI义务。,高风险AI场景；AI Agent；内容安全；模型透明度；日志留存；客户使用AI的责任边界。,高风险AI;透明度;日志记录;通用目的AI;人工监督;技术文档;合规评估,官方网页hash + EUR-Lex API/元数据复核,官方原文
欧盟,European Union,General Data Protection Regulation (GDPR),隐私/个人数据法规,正式法规,EUR-Lex,https://eur-lex.europa.eu/eli/reg/2016/679/oj,2018-05-25,2026-06-21,中高,高,欧盟个人数据保护核心法规，AI服务涉及个人数据处理、跨境传输、自动化决策或训练数据时需重点关注。,合法性基础；透明告知；数据主体权利；DPIA；跨境传输机制；数据最小化；安全保障。,客户数据处理；日志留存；模型训练数据；跨境传输；DPA；自动化决策。,个人数据;DPIA;跨境传输;合法性基础;自动化决策;数据主体权利,官方网页hash + EUR-Lex API/元数据复核,官方原文
美国,United States,NIST Artificial Intelligence Risk Management Framework (AI RMF 1.0),AI风险管理框架,自愿性框架/指南,NIST,https://www.nist.gov/itl/ai-risk-management-framework,2023-01-26,2026-06-21,高,中,NIST提出用于识别、衡量和管理AI风险的框架，适合做企业AI治理、客户材料和内部风控机制参考。,Govern; Map; Measure; Manage四类能力；可信AI特征；组织治理；风险评估；持续监控。,AI Agent治理；模型风险管理；客户安全问卷；内部AI治理成熟度；风险评估流程。,AI风险管理;可信AI;治理;评估;监控;问责,官方网页hash + PDF hash + 手动复核,官方框架
英国,United Kingdom,A pro-innovation approach to AI regulation,AI监管白皮书/政策框架,政策框架/非单一AI法,GOV.UK / DSIT,https://www.gov.uk/government/publications/ai-regulation-a-pro-innovation-approach/white-paper,2023-03-29/2024政府回应,2026-06-21,高,中,英国采用以现有监管机构为主、原则导向的AI监管路径，强调安全、透明、公平、问责和救济。,安全稳健；透明可解释；公平；问责治理；争议和救济；由现有监管机构结合场景落实。,英国客户AI落地；金融科技；消费者保护；AI透明度；行业监管沟通。,原则导向;透明;公平;问责;安全;监管机构;行业监管,官方网页hash + GOV.UK更新日期检查,官方政策
中国,China,生成式人工智能服务管理暂行办法,生成式AI监管规则,正式部门规章/暂行办法,国家互联网信息办公室,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,2023-08-15,2026-06-21,高,高,适用于向中国境内公众提供生成文本、图片、音频、视频等内容的生成式AI服务。,合法合规训练数据；内容安全；个人信息保护；算法备案/安全评估相关要求；标识生成内容；投诉处理。,生成式AI服务；内容生成；模型训练数据；输出内容安全；中国境内公众服务。,生成式AI;内容安全;训练数据;个人信息;算法备案;安全评估;深度合成,官方网页hash + CAC公告页监控,官方原文
中国,China,个人信息保护法（PIPL）,隐私/个人信息保护法规,正式法律,全国人大/中国政府网,https://www.gov.cn/xinwen/2021-08/20/content_5632486.htm,2021-11-01,2026-06-21,中高,高,中国个人信息处理的基础法律，AI服务涉及用户数据、客户数据、日志和跨境传输时需关注。,合法性基础；告知同意；敏感个人信息；个人信息出境；处理者义务；个人权利保障。,客户个人信息处理；日志留存；数据跨境；DPA/数据处理协议；敏感信息处理。,个人信息;敏感个人信息;跨境传输;告知同意;处理者义务;个人权利,官方网页hash + 手动复核,官方发布
新加坡,Singapore,Singapore Model AI Governance Framework / Approach to AI Governance,AI治理框架,治理框架/指导性文件,PDPC Singapore,https://www.pdpc.gov.sg/organisations/resources/guidance-by-topic/singapores-approach-to-ai-governance,2019/2020/持续更新,2026-06-21,高,中高,新加坡以实践导向方式推动可信AI治理，强调内部治理结构、风险评估、人类参与和透明沟通。,内部治理；风险评估；人类监督；运营管理；利益相关方沟通；模型可解释和稳健性。,新加坡客户；AI Agent；客户合规问卷；治理说明材料；数据使用边界说明。,AI治理;透明;人类监督;内部治理;风险评估;利益相关方沟通,官方网页hash + PDF hash,官方指南
新加坡,Singapore,Model AI Governance Framework for Generative AI,生成式AI治理框架,治理框架/指导性文件,AI Verify Foundation / IMDA ecosystem,https://aiverifyfoundation.sg/wp-content/uploads/2024/05/Model-AI-Governance-Framework-for-Generative-AI-May-2024-1-1.pdf,2024-05,2026-06-21,高,中高,针对生成式AI提出治理维度，适合用于大模型、Agent、第三方模型调用和客户数据使用边界说明。,问责；数据；可信开发与部署；事件报告；安全评估；内容来源和披露；第三方生态协作。,生成式AI；AI Agent；模型训练数据；第三方模型调用；内容安全；客户材料。,生成式AI;Agent;数据治理;安全评估;披露;第三方模型;内容来源,PDF hash + 官方网页复核,官方/生态框架
ASEAN区域,ASEAN,ASEAN Guide on AI Governance and Ethics,区域AI治理指南,区域指导性文件,ASEAN,https://asean.org/book/asean-guide-on-ai-governance-and-ethics/,2024-02,2026-06-21,高,中,为东南亚组织设计、开发和部署传统AI提供治理和伦理实践指南。,内部治理；风险管理；数据治理；透明可解释；公平；安全；人工参与；利益相关方沟通。,东南亚客户准入；AI治理说明；客户合规材料；区域风险预警。,ASEAN;AI治理;伦理;风险管理;透明;公平;安全;人类监督,官方网页hash + PDF hash,官方指南
ASEAN区域,ASEAN,Expanded ASEAN Guide on AI Governance and Ethics - Generative AI,生成式AI区域指南,区域指导性文件,ASEAN,https://asean.org/wp-content/uploads/2025/01/Expanded-ASEAN-Guide-on-AI-Governance-and-Ethics-Generative-AI.pdf,2025-01,2026-06-21,高,中高,补充ASEAN传统AI指南，聚焦生成式AI相关政策和治理考虑。,生成式AI风险识别；数据与模型治理；内容风险；滥用防控；透明披露；组织治理。,东南亚生成式AI；AI Agent；模型输出安全；客户数据使用；内容审核。,生成式AI;内容安全;模型输出;数据治理;滥用防控;透明披露,PDF hash + 官方网页复核,官方指南
日本,Japan,AI Guidelines for Business Ver.1.0,AI商业应用指南,自愿性指南,METI / MIC Japan,https://www.meti.go.jp/english/press/2024/0419_002.html,2024-04-19,2026-06-21,高,中,日本面向AI业务使用者、开发者和提供者的统一AI治理指南，强调AI全生命周期风险识别和自愿性治理。,AI生命周期治理；安全使用；风险识别；利益相关方沟通；透明性；数据和隐私关注。,日本客户AI落地；客户合规问卷；AI服务供应商治理说明；风险评估。,AI生命周期;自愿治理;安全;透明;风险识别;利益相关方,官方网页hash + PDF hash,官方指南
韩国,South Korea,AI Basic Act / Framework Act on AI,AI综合法/框架法,正式立法/实施细则持续关注,MSIT Korea,https://www.msit.go.kr/eng/bbs/view.do?bbsSeqNo=42&mId=4&mPid=2&nttSeqNo=1071,2026-01-23（需结合官方实施信息复核）,2026-06-21,高,中,韩国AI基础法建立AI发展和可信AI治理框架，需持续关注实施细则、披露和高影响AI要求。,可信AI；高影响AI管理；透明披露；安全性；产业促进；政府支持和监管框架。,韩国客户AI服务；透明披露；高影响AI；内容标识；金融/公共领域客户。,高影响AI;可信AI;披露;安全;透明;实施细则,官方网页hash + 政府公告页监控,官方新闻/政策说明
印度尼西亚,Indonesia,Surat Edaran Menteri Kominfo Nomor 9 Tahun 2023 tentang Etika Kecerdasan Artifisial,AI伦理指南/软法,部门通函/软监管,JDIH Kementerian Komunikasi dan Digital,https://jdih.komdigi.go.id/produk_hukum/view/id/883/t/surat%2Bedaran%2Bmenteri%2Bkomunikasi%2Bdan%2Binformatika%2Bnomor%2B9%2Btahun%2B2023,2023-12-19,2026-06-21,高,中,印尼通信与信息部门发布AI伦理通函，面向公共和私营电子系统运营者及AI相关主体提供伦理原则和责任提示。,包容性；安全；人文；可持续；透明；可信；问责；个人数据保护和知识产权关注。,印尼客户；电子系统运营者；AI伦理说明；客户数据处理；内容安全。,AI伦理;透明;安全;问责;个人数据;PSE;软监管,官方网页hash + PDF hash + 公告页监控,官方通函
越南,Vietnam,Decree No. 13/2023/ND-CP on Personal Data Protection,个人数据保护法规,正式政府法令/需关注后续PDPL更新,Vietnam Government Legal Document Portal,https://vanban.chinhphu.vn/?docid=207759&pageid=27160,2023-07-01,2026-06-21,中,高,越南个人数据保护法令，适用于涉及越南个人数据处理的境内外组织和个人。,个人数据处理原则；数据主体权利；敏感个人数据；跨境传输影响评估；数据处理影响评估；日志和安全义务。,越南客户数据处理；跨境传输；客户知识库；日志留存；DPA。,个人数据;跨境传输;影响评估;敏感数据;数据主体权利;日志,官方网页hash + 政府法令库监控,官方原文
马来西亚,Malaysia,National Guidelines on AI Governance and Ethics (AIGE),AI治理与伦理指南,自愿性指南,MOSTI / MASTIC / NAIO,https://mastic.mosti.gov.my/publication/the-national-guidelines-on-ai-governance-ethics/,2024-09,2026-06-21,高,中,马来西亚发布国家AI治理与伦理指南，提供负责任和以人为本的AI治理原则。,安全可靠；公平；隐私安全；透明；包容；问责；以人为本。,马来西亚客户；AI治理说明；客户问卷；金融科技和教育场景。,AI伦理;公平;隐私;透明;安全;问责;以人为本,官方网页hash + PDF hash,官方指南
泰国,Thailand,Thailand AI Governance Guideline for Executives,AI治理指南,指导性文件,ETDA Thailand,https://www.etda.or.th/getattachment/Our-Service/AIGC/Research-and-Recommendation/Thailand%E2%80%99s-AI-Governance-Guideline-for-Executive_2023.pdf.aspx?lang=th-TH,2023,2026-06-21,高,中,泰国ETDA发布AI治理指南，关注组织治理、风险管理、模型开发部署、评估监控和法规一致性。,战略治理；风险管理；数据准备；模型构建；部署；评估监控；法规遵循。,泰国客户；AI治理成熟度；模型部署风险；数据合规；金融和公共服务场景。,AI治理;风险管理;模型部署;监控;数据准备;法规遵循,PDF hash + ETDA页面监控,官方指南
巴西,Brazil,Projeto de Lei n° 2338/2023 - Artificial Intelligence Bill,AI法案/立法进程,法案/立法中，非现行正式法律,Senado Federal,https://www25.senado.leg.br/web/atividade/materias/-/materia/157233,未生效/立法进程中,2026-06-21,高,中,巴西人工智能法案，拟建立AI使用和开发的监管框架，需持续跟踪众议院和总统批准进程。,风险分类；权利保护；治理措施；高风险AI；责任机制；透明度。,巴西AI业务规划；高风险AI；内容生成；金融科技；客户问卷。,巴西AI法案;风险分类;高风险AI;透明;责任;立法进程,官方议案页面hash + 立法状态字段监控,官方议案页面
巴西,Brazil,Lei Geral de Proteção de Dados (LGPD),隐私/个人数据保护法规,正式法律,ANPD / Governo Federal,https://www.gov.br/anpd/pt-br/centrais-de-conteudo/outros-documentos-e-publicacoes-institucionais/lgpd-en-lei-no-13-709-capa.pdf,2020-09-18（制裁规则分阶段）,2026-06-21,中高,高,巴西通用个人数据保护法，AI训练、客户数据处理、跨境传输和用户权利响应均需关注。,合法处理基础；数据主体权利；DPO；安全措施；国际传输；监管处罚。,巴西客户数据处理；模型训练数据；跨境传输；DPA；客户权利响应。,LGPD;个人数据;国际传输;数据主体权利;DPO;AI训练,PDF hash + ANPD页面监控,官方/监管机构文件
