rule_id,jurisdiction,scenario,industry,product_type,deployment_mode,data_activity,risk_point,risk_level,trigger_condition,legal_basis,source_url,suggested_action,need_legal,need_product,owner_team,sla_days
R001,欧盟,客户数据是否用于模型训练,全部,生成式AI/AI Agent,全部,客户业务数据/知识库数据,训练数据使用边界不清,高,客户询问其输入、知识库或日志是否会用于模型训练,GDPR + EU AI Act,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,准备“客户数据默认不用于训练/训练需另行授权”的标准说明，补充DPA和产品数据流说明。,是,是,法务/产品/业务,3
R002,欧盟,日志留存,金融科技,AI Agent/智能客服,公有云API/专属部署,系统日志/访问日志,日志留存与审计能力不足,中高,客户需要审计、故障追踪或监管留痕,EU AI Act日志与高风险AI治理要求,https://eur-lex.europa.eu/eli/reg/2024/1689/oj/eng,准备日志留存周期、访问控制、审计导出能力和客户可配置边界说明。,是,是,产品/法务,5
R003,欧盟,数据跨境,全部,全部,公有云API,个人数据/客户数据,跨境传输机制不明确,高,客户数据从欧盟传输至非欧盟地区或云服务跨境处理,GDPR跨境传输机制,https://eur-lex.europa.eu/eli/reg/2016/679/oj,确认数据流向、处理地点、子处理方和传输机制，准备DPA/SCC或等效机制说明。,是,是,法务,5
R004,中国,内容安全与输出审核,全部,生成式AI/大模型服务,全部,模型输出内容,生成内容违法违规或不符合内容安全要求,高,向境内公众提供生成式AI服务，涉及文本/图片/音频/视频生成,生成式人工智能服务管理暂行办法,https://www.cac.gov.cn/2023-07/13/c_1690898327029107.htm,建立输出内容安全策略、投诉处理机制、生成内容标识和安全评估/备案准备材料。,是,是,法务/产品,3
R005,中国,个人信息处理,全部,AI Agent/智能客服,全部,个人信息/敏感个人信息,个人信息处理合法性不足,高,服务处理个人信息或敏感个人信息,PIPL + 生成式AI办法,https://www.gov.cn/xinwen/2021-08/20/content_5632486.htm,明确处理目的、范围、保存期限、用户权利和删除机制；必要时补充个人信息保护影响评估。,是,是,法务,5
R006,新加坡,客户数据是否用于模型训练,金融科技,生成式AI/AI Agent,公有云API,客户数据/日志,客户信任与数据使用边界风险,中高,金融科技客户要求明确数据是否进入训练集或第三方模型,Singapore AI Governance Framework + PDPA实践,https://www.pdpc.gov.sg/organisations/resources/guidance-by-topic/singapores-approach-to-ai-governance,准备数据使用边界、训练排除机制、日志用途和治理流程说明。,是,是,产品/法务,4
R007,ASEAN区域,第三方模型调用,全部,大模型统一调用/AI Agent,公有云API,第三方模型API/供应商,第三方模型供应链与数据流向不透明,中高,产品接入第三方大模型或多模型路由,ASEAN AI Governance and Ethics Guide,https://asean.org/book/asean-guide-on-ai-governance-and-ethics/,整理第三方模型清单、数据流向、子处理方说明和供应商安全评估结论。,是,是,产品/法务,5
R008,ASEAN区域,内容安全与输出审核,游戏出海/教育科技,生成式AI/AI Agent,全部,模型输出/用户生成内容,模型输出不当内容或未成年人风险,高,服务面向未成年人、教育或UGC场景,Expanded ASEAN Guide on Generative AI,https://asean.org/wp-content/uploads/2025/01/Expanded-ASEAN-Guide-on-AI-Governance-and-Ethics-Generative-AI.pdf,增加内容审核、人工复核、年龄适配和用户投诉通道；准备内容安全说明。,是,是,产品/业务,4
R009,美国,AI风险管理,全部,AI Agent/经营分析助手,全部,模型风险/算法偏差,AI风险管理体系不足,中,客户要求AI治理框架、风控流程或模型评估材料,NIST AI RMF,https://www.nist.gov/itl/ai-risk-management-framework,按Govern-Map-Measure-Manage整理AI风险管理说明、测试记录和责任分工。,否,是,产品/安全,7
R010,英国,金融科技高风险场景,金融科技,AI Agent/智能客服/经营分析助手,全部,自动化建议/客户交互,行业监管与消费者保护风险,中高,英国金融/消费者场景使用AI影响用户权益,UK AI Regulation White Paper,https://www.gov.uk/government/publications/ai-regulation-a-pro-innovation-approach/white-paper,准备透明说明、人工复核机制、问责流程和行业监管沟通材料。,是,是,法务/业务,5
R011,日本,客户知识库数据使用,SaaS软件/制造/教育科技,企业知识库问答/AI Agent,全部,企业知识库/内部文档,知识库数据治理和误用风险,中,客户上传内部资料用于RAG或知识库问答,Japan AI Guidelines for Business,https://www.meti.go.jp/english/press/2024/0419_002.html,明确知识库隔离、访问权限、删除机制、输出纠错和人工复核流程。,否,是,产品,5
R012,韩国,内容安全与输出审核,全部,生成式AI/AI Agent,全部,AI生成内容,生成内容披露与高影响AI合规风险,中高,服务涉及生成内容、敏感领域或高影响AI场景,Korea AI Basic Act/MSIT说明,https://www.msit.go.kr/eng/bbs/view.do?bbsSeqNo=42&mId=4&mPid=2&nttSeqNo=1071,准备AI生成内容标识、风险分类、用户告知和高影响场景评估说明。,是,是,法务/产品,5
R013,印度尼西亚,AI伦理合规,全部,AI Agent/智能客服,全部,AI应用流程/数据处理,AI伦理和责任边界不清,中,客户要求证明AI使用符合当地伦理和责任原则,Komdigi AI Ethics Circular No.9/2023,https://jdih.komdigi.go.id/produk_hukum/view/id/883/t/surat%2Bedaran%2Bmenteri%2Bkomunikasi%2Bdan%2Binformatika%2Bnomor%2B9%2Btahun%2B2023,准备AI伦理原则、透明说明、问责机制、数据保护和人类监督材料。,是,是,法务/产品,5
R014,越南,数据跨境,全部,AI Agent/知识库问答,公有云API,个人数据/客户数据,个人数据跨境传输与影响评估风险,高,涉及越南个人数据处理或跨境转移,Vietnam Decree 13/2023/ND-CP,https://vanban.chinhphu.vn/?docid=207759&pageid=27160,确认越南数据处理范围，准备跨境传输影响评估、数据处理影响评估和客户授权材料。,是,是,法务,5
R015,马来西亚,AI治理材料,金融科技/教育科技,AI Agent/智能客服,全部,AI系统治理,可信AI和责任归属说明不足,中,客户要求AI治理、伦理、透明和问责材料,Malaysia AIGE,https://mastic.mosti.gov.my/publication/the-national-guidelines-on-ai-governance-ethics/,准备AI治理原则映射表、风险评估流程、用户透明说明和责任分工。,否,是,产品/业务,7
R016,泰国,专属部署/私有化部署,金融科技/公共服务,AI Agent/合同审查助手,专属部署/私有化部署,客户数据/模型部署环境,模型部署和监管一致性风险,中高,客户要求数据不出境、本地化部署或可审计AI治理流程,Thailand AI Governance Guideline,https://www.etda.or.th/getattachment/Our-Service/AIGC/Research-and-Recommendation/Thailand%E2%80%99s-AI-Governance-Guideline-for-Executive_2023.pdf.aspx?lang=th-TH,准备部署模式差异、数据位置、访问控制、模型监控和风险管理说明。,是,是,产品/法务,5
R017,巴西,模型训练数据使用,全部,生成式AI/AI Agent,公有云API,个人数据/公开数据,个人数据用于AI训练引发监管关注,高,产品计划使用巴西用户/客户数据训练或改进模型,LGPD + PL 2338/2023进程,https://www.gov.br/anpd/pt-br/centrais-de-conteudo/outros-documentos-e-publicacoes-institucionais/lgpd-en-lei-no-13-709-capa.pdf,默认禁止未经明确授权的客户数据训练；准备LGPD合法基础、用户权利和退出机制说明。,是,是,法务/产品,3
R018,巴西,高风险AI,金融科技/教育科技,AI Agent/经营分析助手,全部,自动化决策/用户权益,AI法案立法进程带来的合规不确定性,中高,服务可能影响用户信用、教育、就业或公共权益,Brazil PL 2338/2023,https://www25.senado.leg.br/web/atividade/materias/-/materia/157233,跟踪法案进展，提前准备风险分类、透明说明、人工复核和责任分工材料。,是,是,法务/业务,7
R019,全球/通用,DPA / 数据处理协议,全部,全部,全部,客户数据/个人数据,数据处理协议缺失或条款边界不清,高,客户询问DPA、子处理方、数据位置、删除和审计权利,GDPR/PIPL/PDPA/LGPD等数据保护规则,https://eur-lex.europa.eu/eli/reg/2016/679/oj,准备标准DPA模板、子处理方清单、删除返还机制、审计配合和安全措施说明。,是,是,法务,5
R020,全球/通用,数据本地化 / 数据不出境,金融科技/公共服务/教育科技,全部,专属部署/私有化部署,客户数据/日志,数据本地化要求与云部署能力不匹配,高,客户要求数据不出境或本地监管要求数据留存,各地数据保护法规/行业监管要求,https://asean.org/book/asean-guide-on-ai-governance-and-ethics/,评估本地部署可行性、数据流向、日志位置、成本影响和产品能力边界。,是,是,产品/法务,5
R021,全球/通用,教育 / 未成年人场景,教育科技,智能客服/知识库问答/生成式AI,全部,未成年人数据/输出内容,未成年人保护和内容适配风险,高,AI服务面向学生、儿童或教育机构,各地隐私与AI治理指南,https://asean.org/wp-content/uploads/2025/01/Expanded-ASEAN-Guide-on-AI-Governance-and-Ethics-Generative-AI.pdf,准备年龄适配、内容安全、家长/学校授权、数据最小化和人工复核机制。,是,是,法务/产品,4
R022,全球/通用,客户问题归类,全部,全部,全部,客户合规问询文本,客户问题没有标准化分流路径,中,客户反复询问训练数据、日志、DPA、第三方模型、数据出境等问题,内部合规响应机制,https://www.nist.gov/itl/ai-risk-management-framework,按问题类型自动归类到FAQ、产品说明、法务条款或升级路径，沉淀标准答复库。,是,是,业务/法务/产品,3
